nohup: ignoring input
Epoch: 119, Loss D: 0.6168407201766968, Loss G: 0.9779599905014038, MMD: 0.0625, EMD: 0.08692061679247283, GPU Memory: 407/8192 MiB, GPU Utilization: 11%
Epoch: 120, Loss D: 0.5989072322845459, Loss G: 1.0665947198867798, MMD: 0.0625, EMD: 0.08706476963061968, GPU Memory: 407/8192 MiB, GPU Utilization: 27%
Epoch: 121, Loss D: 0.6357399225234985, Loss G: 0.8997216820716858, MMD: 0.0625, EMD: 0.08334637389718492, GPU Memory: 407/8192 MiB, GPU Utilization: 13%
Epoch: 122, Loss D: 0.5407329797744751, Loss G: 1.015815019607544, MMD: 0.0625, EMD: 0.08087018553501876, GPU Memory: 407/8192 MiB, GPU Utilization: 24%
Epoch: 123, Loss D: 0.5393317937850952, Loss G: 1.3103597164154053, MMD: 0.0625, EMD: 0.08288935029003258, GPU Memory: 407/8192 MiB, GPU Utilization: 14%
Epoch: 124, Loss D: 0.720017671585083, Loss G: 0.7107844352722168, MMD: 0.0625, EMD: 0.07826138408922259, GPU Memory: 407/8192 MiB, GPU Utilization: 20%
Epoch: 125, Loss D: 0.5595734119415283, Loss G: 0.8936969041824341, MMD: 0.0625, EMD: 0.08181666816091486, GPU Memory: 407/8192 MiB, GPU Utilization: 23%
Epoch: 126, Loss D: 0.550718367099762, Loss G: 1.2597010135650635, MMD: 0.0625, EMD: 0.09626938973257651, GPU Memory: 407/8192 MiB, GPU Utilization: 29%
Epoch: 127, Loss D: 0.5646494626998901, Loss G: 0.967293918132782, MMD: 0.0625, EMD: 0.0920948369671861, GPU Memory: 407/8192 MiB, GPU Utilization: 29%
Epoch: 128, Loss D: 0.5765475034713745, Loss G: 1.0232864618301392, MMD: 0.0625, EMD: 0.09961643469633526, GPU Memory: 407/8192 MiB, GPU Utilization: 36%
Epoch: 129, Loss D: 0.5909422636032104, Loss G: 0.9557889699935913, MMD: 0.0625, EMD: 0.09023698763142499, GPU Memory: 407/8192 MiB, GPU Utilization: 26%
Epoch: 130, Loss D: 0.5370557904243469, Loss G: 1.0028016567230225, MMD: 0.0625, EMD: 0.08666100914620979, GPU Memory: 407/8192 MiB, GPU Utilization: 32%
Epoch: 131, Loss D: 0.6174101829528809, Loss G: 1.1237709522247314, MMD: 0.0625, EMD: 0.0865003316925632, GPU Memory: 407/8192 MiB, GPU Utilization: 14%
Epoch: 132, Loss D: 0.6093171834945679, Loss G: 1.0093543529510498, MMD: 0.0625, EMD: 0.08716612700679054, GPU Memory: 407/8192 MiB, GPU Utilization: 30%
Epoch: 133, Loss D: 0.6036942005157471, Loss G: 0.9312387704849243, MMD: 0.0625, EMD: 0.08119539114128731, GPU Memory: 407/8192 MiB, GPU Utilization: 23%
Epoch: 134, Loss D: 0.5066362023353577, Loss G: 1.3354897499084473, MMD: 0.0625, EMD: 0.08864645118406, GPU Memory: 407/8192 MiB, GPU Utilization: 11%
Epoch: 135, Loss D: 0.5351570844650269, Loss G: 1.1115193367004395, MMD: 0.0625, EMD: 0.08124960104104809, GPU Memory: 407/8192 MiB, GPU Utilization: 20%
Epoch: 136, Loss D: 0.5548328161239624, Loss G: 1.1700034141540527, MMD: 0.0625, EMD: 0.09545997719467485, GPU Memory: 407/8192 MiB, GPU Utilization: 23%
Epoch: 137, Loss D: 0.5326206684112549, Loss G: 1.1209110021591187, MMD: 0.0625, EMD: 0.09034753184818797, GPU Memory: 407/8192 MiB, GPU Utilization: 19%
