nohup: ignoring input
Epoch: 78, Loss D: 0.6228790283203125, Loss G: 1.0091204643249512, MMD: 0.0625, EMD: 0.07447505200774203, GPU Memory: 207/8192 MiB, GPU Utilization: 6%, GPU Temperature: 54°C
Epoch: 79, Loss D: 0.6875689625740051, Loss G: 0.7110987901687622, MMD: 0.0624999962747097, EMD: 0.0707037448357081, GPU Memory: 207/8192 MiB, GPU Utilization: 10%, GPU Temperature: 54°C
Epoch: 80, Loss D: 0.6747009754180908, Loss G: 0.8508045673370361, MMD: 0.0625, EMD: 0.09002291779692852, GPU Memory: 207/8192 MiB, GPU Utilization: 4%, GPU Temperature: 54°C
Epoch: 81, Loss D: 0.6032955646514893, Loss G: 0.9015403985977173, MMD: 0.0625, EMD: 0.07708466936762134, GPU Memory: 207/8192 MiB, GPU Utilization: 6%, GPU Temperature: 54°C
Epoch: 82, Loss D: 0.6366517543792725, Loss G: 0.9452919960021973, MMD: 0.0625, EMD: 0.08236704792928007, GPU Memory: 207/8192 MiB, GPU Utilization: 6%, GPU Temperature: 54°C
Epoch: 83, Loss D: 0.5449313521385193, Loss G: 0.9186340570449829, MMD: 0.0625, EMD: 0.08284275700172972, GPU Memory: 207/8192 MiB, GPU Utilization: 2%, GPU Temperature: 54°C
Epoch: 84, Loss D: 0.6235934495925903, Loss G: 0.9527711868286133, MMD: 0.06250002235174179, EMD: 0.06548863372903242, GPU Memory: 207/8192 MiB, GPU Utilization: 4%, GPU Temperature: 54°C
Epoch: 85, Loss D: 0.6243733167648315, Loss G: 0.8497265577316284, MMD: 0.0625, EMD: 0.07256088509214058, GPU Memory: 207/8192 MiB, GPU Utilization: 3%, GPU Temperature: 54°C
Epoch: 86, Loss D: 0.588423490524292, Loss G: 0.9853575229644775, MMD: 0.0625, EMD: 0.07362246566050572, GPU Memory: 207/8192 MiB, GPU Utilization: 3%, GPU Temperature: 54°C
Epoch: 87, Loss D: 0.6637675166130066, Loss G: 0.962212085723877, MMD: 0.0625, EMD: 0.08470922122683541, GPU Memory: 207/8192 MiB, GPU Utilization: 4%, GPU Temperature: 54°C
Epoch: 88, Loss D: 0.6703888773918152, Loss G: 0.9266870617866516, MMD: 0.0625, EMD: 0.08234724562494217, GPU Memory: 207/8192 MiB, GPU Utilization: 5%, GPU Temperature: 54°C
Epoch: 89, Loss D: 0.6879738569259644, Loss G: 0.8571568727493286, MMD: 0.0625, EMD: 0.07046306275760242, GPU Memory: 207/8192 MiB, GPU Utilization: 4%, GPU Temperature: 54°C
Epoch: 90, Loss D: 0.6192915439605713, Loss G: 0.8700304627418518, MMD: 0.06250002980232239, EMD: 0.07113383343704179, GPU Memory: 207/8192 MiB, GPU Utilization: 6%, GPU Temperature: 54°C
Epoch: 91, Loss D: 0.5960140824317932, Loss G: 0.9195802211761475, MMD: 0.0625, EMD: 0.07464541798815366, GPU Memory: 207/8192 MiB, GPU Utilization: 5%, GPU Temperature: 54°C
Epoch: 92, Loss D: 0.6567678451538086, Loss G: 0.9098636507987976, MMD: 0.0625, EMD: 0.08419923618977955, GPU Memory: 207/8192 MiB, GPU Utilization: 4%, GPU Temperature: 54°C
Epoch: 93, Loss D: 0.7114257216453552, Loss G: 0.7614095211029053, MMD: 0.0625, EMD: 0.0850799007733998, GPU Memory: 207/8192 MiB, GPU Utilization: 4%, GPU Temperature: 54°C
Epoch: 94, Loss D: 0.6773093342781067, Loss G: 0.8701885938644409, MMD: 0.0625, EMD: 0.07418291814616047, GPU Memory: 207/8192 MiB, GPU Utilization: 2%, GPU Temperature: 54°C
Epoch: 95, Loss D: 0.6450656652450562, Loss G: 0.8298060297966003, MMD: 0.0625, EMD: 0.07931026573073166, GPU Memory: 207/8192 MiB, GPU Utilization: 1%, GPU Temperature: 54°C
Epoch: 96, Loss D: 0.6977990865707397, Loss G: 0.9385655522346497, MMD: 0.0625, EMD: 0.07320999157175312, GPU Memory: 207/8192 MiB, GPU Utilization: 5%, GPU Temperature: 54°C
Epoch: 97, Loss D: 0.6213202476501465, Loss G: 1.0186728239059448, MMD: 0.0625, EMD: 0.07725610655924524, GPU Memory: 207/8192 MiB, GPU Utilization: 6%, GPU Temperature: 54°C
Epoch: 98, Loss D: 0.6023906469345093, Loss G: 0.8911358714103699, MMD: 0.0624999962747097, EMD: 0.07708100083554738, GPU Memory: 207/8192 MiB, GPU Utilization: 7%, GPU Temperature: 54°C
Epoch: 99, Loss D: 0.5736768245697021, Loss G: 1.0391650199890137, MMD: 0.0625, EMD: 0.08460505317708567, GPU Memory: 207/8192 MiB, GPU Utilization: 4%, GPU Temperature: 54°C
Epoch: 100, Loss D: 0.6120412945747375, Loss G: 0.974043607711792, MMD: 0.0625, EMD: 0.08444174847876434, GPU Memory: 207/8192 MiB, GPU Utilization: 3%, GPU Temperature: 54°C
Epoch: 101, Loss D: 0.6460001468658447, Loss G: 0.8620175123214722, MMD: 0.06250929832458496, EMD: 0.08690673187495623, GPU Memory: 207/8192 MiB, GPU Utilization: 5%, GPU Temperature: 54°C
Epoch: 102, Loss D: 0.6231878995895386, Loss G: 0.9809976816177368, MMD: 0.0625, EMD: 0.07785232858522509, GPU Memory: 207/8192 MiB, GPU Utilization: 3%, GPU Temperature: 54°C
Epoch: 103, Loss D: 0.598286509513855, Loss G: 1.0061593055725098, MMD: 0.0625, EMD: 0.07284362941982181, GPU Memory: 207/8192 MiB, GPU Utilization: 2%, GPU Temperature: 54°C
Epoch: 104, Loss D: 0.6582956910133362, Loss G: 0.758786678314209, MMD: 0.0625, EMD: 0.07645988421675574, GPU Memory: 207/8192 MiB, GPU Utilization: 4%, GPU Temperature: 54°C
Epoch: 105, Loss D: 0.620379626750946, Loss G: 0.8280148506164551, MMD: 0.0625, EMD: 0.07469098180943046, GPU Memory: 207/8192 MiB, GPU Utilization: 1%, GPU Temperature: 54°C
Epoch: 106, Loss D: 0.6743867993354797, Loss G: 0.9782333374023438, MMD: 0.0625, EMD: 0.07488235666766499, GPU Memory: 207/8192 MiB, GPU Utilization: 6%, GPU Temperature: 54°C
Epoch: 107, Loss D: 0.6270415782928467, Loss G: 0.8807384967803955, MMD: 0.0625, EMD: 0.07834524916970344, GPU Memory: 207/8192 MiB, GPU Utilization: 5%, GPU Temperature: 54°C
Epoch: 108, Loss D: 0.6141598224639893, Loss G: 1.0406708717346191, MMD: 0.0625, EMD: 0.0892079389697526, GPU Memory: 207/8192 MiB, GPU Utilization: 5%, GPU Temperature: 54°C
Epoch: 109, Loss D: 0.6137598752975464, Loss G: 0.8989160060882568, MMD: 0.0625, EMD: 0.07321533726992491, GPU Memory: 207/8192 MiB, GPU Utilization: 8%, GPU Temperature: 54°C
Epoch: 110, Loss D: 0.6989272236824036, Loss G: 0.7923968434333801, MMD: 0.0625, EMD: 0.08050102617607527, GPU Memory: 207/8192 MiB, GPU Utilization: 5%, GPU Temperature: 54°C
Epoch: 111, Loss D: 0.5982834100723267, Loss G: 0.9802343249320984, MMD: 0.0625, EMD: 0.08268197475630777, GPU Memory: 207/8192 MiB, GPU Utilization: 1%, GPU Temperature: 54°C
Epoch: 112, Loss D: 0.6232888698577881, Loss G: 0.8892650008201599, MMD: 0.0624999962747097, EMD: 0.07624012936853386, GPU Memory: 207/8192 MiB, GPU Utilization: 5%, GPU Temperature: 54°C
Epoch: 113, Loss D: 0.6572310328483582, Loss G: 0.7437900304794312, MMD: 0.0625, EMD: 0.07073856002974174, GPU Memory: 207/8192 MiB, GPU Utilization: 8%, GPU Temperature: 54°C
Epoch: 114, Loss D: 0.616141676902771, Loss G: 1.0696072578430176, MMD: 0.0624999962747097, EMD: 0.07657366460366621, GPU Memory: 207/8192 MiB, GPU Utilization: 1%, GPU Temperature: 54°C
Epoch: 115, Loss D: 0.6003886461257935, Loss G: 0.8366439342498779, MMD: 0.0625, EMD: 0.08058226292812563, GPU Memory: 207/8192 MiB, GPU Utilization: 7%, GPU Temperature: 54°C
Epoch: 116, Loss D: 0.6611498594284058, Loss G: 0.8428636193275452, MMD: 0.0625, EMD: 0.08335012566626852, GPU Memory: 207/8192 MiB, GPU Utilization: 4%, GPU Temperature: 54°C
Epoch: 117, Loss D: 0.7608201503753662, Loss G: 0.7322970032691956, MMD: 0.0625, EMD: 0.07623866845722901, GPU Memory: 207/8192 MiB, GPU Utilization: 4%, GPU Temperature: 54°C
Epoch: 118, Loss D: 0.6068571209907532, Loss G: 0.8946085572242737, MMD: 0.0625, EMD: 0.08593717942450467, GPU Memory: 207/8192 MiB, GPU Utilization: 6%, GPU Temperature: 54°C
Epoch: 119, Loss D: 0.6049890518188477, Loss G: 0.8174751996994019, MMD: 0.0625, EMD: 0.08033772232824633, GPU Memory: 207/8192 MiB, GPU Utilization: 5%, GPU Temperature: 54°C
Epoch: 120, Loss D: 0.6767444610595703, Loss G: 0.8552554845809937, MMD: 0.0625, EMD: 0.07047575073023284, GPU Memory: 207/8192 MiB, GPU Utilization: 1%, GPU Temperature: 54°C
Epoch: 121, Loss D: 0.6535338163375854, Loss G: 0.9603363275527954, MMD: 0.0625, EMD: 0.07584693709094381, GPU Memory: 207/8192 MiB, GPU Utilization: 6%, GPU Temperature: 54°C
Epoch: 122, Loss D: 0.6337882876396179, Loss G: 0.7968918085098267, MMD: 0.0625, EMD: 0.0803495340349769, GPU Memory: 207/8192 MiB, GPU Utilization: 4%, GPU Temperature: 54°C
Epoch: 123, Loss D: 0.6214517951011658, Loss G: 0.892866849899292, MMD: 0.0625002533197403, EMD: 0.07962823476497984, GPU Memory: 207/8192 MiB, GPU Utilization: 7%, GPU Temperature: 54°C
Epoch: 124, Loss D: 0.5865429639816284, Loss G: 0.9627182483673096, MMD: 0.0625, EMD: 0.0671031488537776, GPU Memory: 207/8192 MiB, GPU Utilization: 8%, GPU Temperature: 54°C
Epoch: 125, Loss D: 0.6268562078475952, Loss G: 0.8285611867904663, MMD: 0.0625, EMD: 0.07507659994448729, GPU Memory: 207/8192 MiB, GPU Utilization: 7%, GPU Temperature: 54°C
Epoch: 126, Loss D: 0.6511623859405518, Loss G: 0.7460830211639404, MMD: 0.0625, EMD: 0.0795125085705807, GPU Memory: 207/8192 MiB, GPU Utilization: 8%, GPU Temperature: 54°C
Epoch: 127, Loss D: 0.6624426245689392, Loss G: 0.6816635727882385, MMD: 0.0625, EMD: 0.07418923331760179, GPU Memory: 207/8192 MiB, GPU Utilization: 4%, GPU Temperature: 54°C
Epoch: 128, Loss D: 0.7221090793609619, Loss G: 0.7753838300704956, MMD: 0.0625, EMD: 0.0772285208285796, GPU Memory: 207/8192 MiB, GPU Utilization: 2%, GPU Temperature: 54°C
Epoch: 129, Loss D: 0.6753982305526733, Loss G: 0.8266608715057373, MMD: 0.0625, EMD: 0.08009874288341609, GPU Memory: 207/8192 MiB, GPU Utilization: 5%, GPU Temperature: 54°C
Epoch: 130, Loss D: 0.6670264005661011, Loss G: 0.8462554812431335, MMD: 0.0625, EMD: 0.08144256276277795, GPU Memory: 207/8192 MiB, GPU Utilization: 6%, GPU Temperature: 54°C
Epoch: 131, Loss D: 0.694686233997345, Loss G: 0.7278816103935242, MMD: 0.0625, EMD: 0.07467501185073513, GPU Memory: 207/8192 MiB, GPU Utilization: 4%, GPU Temperature: 54°C
Epoch: 132, Loss D: 0.6823266744613647, Loss G: 0.8512377738952637, MMD: 0.0625, EMD: 0.08300152565772471, GPU Memory: 207/8192 MiB, GPU Utilization: 7%, GPU Temperature: 54°C
